game,team,player_name,status,reason
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"Leonard,Kawhi Out",Injury/Illness-RightAnkle;Sprain,
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"Telfort,Jahmyl Out",GLeague-Two-Way,
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"BostonCeltics HarperJr.,Ron",Out,GLeague-Two-Way
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"Shulga,Max Out",GLeague-Two-Way,
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"Tatum,Jayson Out",Injury/Illness-RightAchilles;Repair,
"11/16/2025 03:30(ET) LAC@BOS LAClippers Beal,Bradley Out Injury/Illness-LeftHip;Fracture",,"Williams,Amari Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Cardwell,Dylan Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Murray,Keegan Out",Unknown,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Plowden,Daeqwon Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Sabonis,Domantas Questionable",Unknown,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Stevens,Isaiah Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"SanAntonioSpurs Harper,Dylan",Out,Injury/Illness-LeftCalf;Strain
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"JonesGarcia,David Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Minix,Riley Out",GLeague-Two-Way,
"04:00(ET) SAC@SAS SacramentoKings Achiuwa,Precious Questionable Injury/Illness-N/a;Illness",,"Wembanyama,Victor Questionable",Injury/Illness-LeftCalf;Tightness,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Saraf,Ben Out",GLeague-OnAssignment,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Thomas,Cam Out",Injury/Illness-LeftHamstring;Strain,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Traore,Nolan Out",GLeague-OnAssignment,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Wolf,Danny Out",GLeague-OnAssignment,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"WashingtonWizards Cooper,Sharife",Out,GLeague-Two-Way
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Coulibaly,Bilal Questionable",Injury/Illness-LeftCalf;Contusion,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Riley,Will Out",GLeague-OnAssignment,
"06:00(ET) BKN@WAS BrooklynNets Highsmith,Haywood Out",,"Watkins,Jamir Out",GLeague-Two-Way,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Melton,De'Anthony Out",Injury/Illness-LeftACL;Surgery,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"NewOrleansPelicans Alexander,Trey",Out,GLeague-Two-Way
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Dickinson,Hunter Out",GLeague-Two-Way,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Murray,Dejounte Out",Injury/Illness-RightAchilles;Rupture,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Poole,Jordan Out",Injury/Illness-LeftQuad;Strain,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Williamson,Zion Questionable",Injury/Illness-LeftHamstring;Strain,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,ORL@HOU OrlandoMagic,"Banchero,Paolo",Out Injury/Illness-LeftGroin;Strain
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Castleton,Colin Out",GLeague-Two-Way,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Suggs,Jalen Out",Injury/Illness-RightGroin;Sore,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Wagner,Franz Available",Injury/Illness-N/A;Facemask,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Wagner,Moritz Out",Unknown,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"HoustonRockets Crawford,Isaiah",Out,GLeague-Two-Way
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Eason,Tari Out",Injury/Illness-RightOblique;Strain,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Finney-Smith,Dorian Out",Injury/Illness-LeftAnkle;Surgery,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"Harris,Kevon Out",GLeague-Two-Way,
"07:00(ET) GSW@NOP GoldenStateWarriors Kuminga,Jonathan Out",,"VanVleet,Fred Out",Injury/Illness-RightKnee;ACLRepair,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Henderson,Scoot Out",Injury/Illness-LeftHamstring;Tear,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Lillard,Damian Out",Unknown,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Thybulle,Matisse Out",Unknown,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Wesley,Blake Out",Injury/Illness-RightFoot;Fracture,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Yang,Hansen Out",GLeague-OnAssignment,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"DallasMavericks Davis,Anthony",Doubtful,Injury/Illness-LeftCalf;Strain
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Exum,Dante Out",Unknown,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Flagg,Cooper Available",Injury/Illness-RightThumb;Sprain,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Irving,Kyrie Out",Injury/Illness-LeftKnee;Surgery,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Nembhard,Ryan Out",Injury/Illness-LeftKnee;Sprain,
"07:30(ET) POR@DAL PortlandTrailBlazers Cooke,Javonte Out GLeague-Two-Way",,"Washington,P.J. Probable",Injury/Illness-LeftShoulder;Strain,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Djurisic,Nikola Out",GLeague-OnAssignment,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Ndiaye,EliJohn Out",GLeague-Two-Way,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Toppin,Jacob Out",GLeague-Two-Way,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Young,Trae Out",Unknown,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"PhoenixSuns Allen,Grayson",Out,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Green,Jalen Out",Unknown,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,CHI@UTA ChicagoBulls,"Collins,Zach",Out
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Flowers,Trentyn Out",GLeague-Two-Way,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Giddey,Josh Probable",Injury/Illness-RightAnkle;Sprain,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Jones,Tre Questionable",Unknown,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Miller,Emanuel Out",GLeague-Two-Way,
"08:00(ET) ATL@PHX AtlantaHawks Dante,N'Faly Out GLeague-OnAssignment",,"Olbrich,Lachlan Out",GLeague-Two-Way,
