RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Jabari Smith Jr.,Hou,*,F,22.5,10,32.0,17.9,7.7,23,0.826,65,0.538,55,0.364,0.542,0.573,14.9,6.0,1.8,0.8,0.8,1.0,20.9,16.7,22.7,6.8,126.4,109.8
,Alperen Sengun,Hou,*,C,23.3,11,36.1,24.7,17.0,78,0.731,134,0.515,37,0.459,0.553,0.599,22.4,10.2,7.4,1.4,0.9,3.2,32.5,29.7,39.9,13.2,128.0,106.2
,Steven Adams,Hou,*,C,32.3,10,21.2,11.6,19.5,21,0.762,41,0.585,0,0.0,0.585,0.637,6.4,9.0,1.6,0.8,0.8,1.0,15.4,8.0,17.0,8.5,143.4,104.9
,Kevin Durant,Hou,*,F,37.1,11,35.3,26.2,14.5,82,0.878,135,0.533,47,0.426,0.56,0.633,25.1,4.6,3.2,1.1,0.6,2.8,29.7,28.3,32.9,8.1,126.2,110.0
,Amen Thompson,Hou,*,G-F,22.8,11,35.2,21.6,14.2,50,0.74,129,0.543,28,0.214,0.503,0.545,17.7,5.7,5.5,1.4,0.5,2.4,23.5,23.2,28.9,9.3,121.3,111.9
,Tari Eason,Hou,*,F,24.5,11,23.2,18.8,16.6,7,0.714,42,0.476,53,0.509,0.637,0.642,11.5,5.2,1.6,0.8,0.5,1.7,16.6,13.1,18.3,7.9,122.1,109.4
,Reed Sheppard,Hou,*,G,21.4,11,22.4,20.1,12.7,7,0.571,38,0.5,65,0.477,0.636,0.636,12.3,2.3,3.2,1.6,0.4,1.4,14.5,15.5,17.7,8.0,129.3,108.6
,Clint Capela,Hou,*,C,31.5,11,9.9,12.6,13.6,10,0.8,25,0.64,0,0.0,0.64,0.68,3.6,4.5,0.4,0.3,0.5,0.4,8.1,4.0,8.5,7.5,150.9,105.0
,Josh Okogie,Hou,*,G,27.2,11,22.7,12.9,9.9,20,0.85,28,0.536,35,0.457,0.619,0.662,8.6,2.3,1.3,1.5,0.2,0.6,10.9,9.9,12.2,5.2,141.1,108.3
,Luguentz Dort,Okc,*,G,26.6,8,30.6,12.0,9.3,10,0.9,20,0.5,38,0.211,0.379,0.425,6.6,4.9,1.5,0.9,0.1,0.8,11.5,8.1,13.0,4.8,101.7,101.8
,Chet Holmgren,Okc,*,C-F,23.5,10,29.6,23.2,15.1,47,0.872,77,0.675,41,0.39,0.644,0.696,19.3,8.2,1.8,0.7,1.3,2.1,27.5,21.1,29.3,8.9,127.1,93.1
,Isaiah Hartenstein,Okc,*,C-F,27.5,14,28.6,16.9,20.9,33,0.667,110,0.709,3,0.0,0.69,0.698,12.7,11.2,3.1,1.3,0.6,2.1,23.9,15.8,27.0,10.6,132.2,93.1
,Cason Wallace,Okc,*,G,22.0,13,29.1,13.0,12.7,11,0.909,41,0.463,55,0.382,0.526,0.55,8.5,3.2,2.8,2.3,0.3,1.1,11.7,11.3,14.5,5.8,113.8,99.8
,Shai Gilgeous-Alexander,Okc,*,G,27.3,14,33.6,34.0,7.2,126,0.897,211,0.592,83,0.373,0.583,0.652,32.6,5.1,6.6,1.4,0.9,1.6,37.6,39.2,44.3,12.3,134.6,103.4
,Jaylin Williams,Okc,*,F,23.4,13,19.0,14.6,12.3,7,0.714,8,0.875,63,0.27,0.458,0.472,5.4,4.8,2.4,0.6,0.6,0.8,10.2,7.8,12.5,8.3,105.4,97.8
,Aaron Wiggins,Okc,*,G,26.9,9,27.6,21.4,7.5,9,0.667,51,0.51,60,0.417,0.572,0.578,14.8,3.7,2.2,0.4,0.8,1.0,18.4,17.0,20.7,7.2,115.9,103.2
,Alex Caruso,Okc,*,G,31.7,10,18.3,14.9,14.7,6,0.833,17,0.412,35,0.371,0.51,0.531,5.8,2.1,2.4,1.9,0.3,0.9,7.9,8.2,10.3,6.7,107.8,102.4
,Brooks Barnhizer,Okc,*,G,23.7,12,8.0,7.1,7.0,4,0.5,12,0.5,1,0.0,0.462,0.474,1.2,2.1,0.3,0.2,0.2,0.1,3.3,1.4,3.5,4.6,116.6,97.8
