RANK,TEAM NAME,OPPONENT TODAY,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
,San Antonio,vs. Sacramento,0,0.0,0.0,2,1.0,15.8,0,0.0,0.0,1,1.0,5.3,5,0.6,4.2,3,0.333,-2.9,1,1.0,46.5
,Dallas,vs. Portland,0,0.0,0.0,2,0.5,-9.2,0,0.0,0.0,2,0.5,-9.5,7,0.143,-17.7,1,0.0,-24.4,1,0.0,-46.5
,Houston,vs. Orlando,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,0.833,25.3,4,0.75,32.7,1,0.0,6.5
,Boston,vs. LA Clippers,0,0.0,0.0,3,0.667,23.3,0,0.0,0.0,2,0.5,16.8,7,0.429,11.4,0,0.0,0.0,1,0.0,6.7
,New Orleans,vs. Golden State,0,0.0,0.0,1,1.0,9.9,0,0.0,0.0,0,0.0,0.0,8,0.125,-21.2,2,0.0,-29.7,1,0.0,-2.9
,Utah,vs. Chicago,0,0.0,0.0,1,1.0,1.3,1,1.0,41.1,2,0.0,1.8,5,0.0,-6.6,2,0.5,3.4,1,1.0,25.0
,Washington,vs. Brooklyn,0,0.0,0.0,1,0.0,-5.7,0,0.0,0.0,1,0.0,-13.9,9,0.111,-31.9,0,0.0,0.0,1,0.0,-28.1
,Phoenix,vs. Atlanta,0,0.0,0.0,2,0.5,14.5,0,0.0,0.0,1,0.0,-5.6,9,0.667,11.6,0,0.0,0.0,1,1.0,20.7
,Brooklyn,@Washington,0,0.0,0.0,1,0.0,-44.3,1,0.0,-19.2,2,0.5,7.4,5,0.0,-20.2,1,0.0,-3.5,2,0.0,-22.1
,Chicago,@Utah,0,0.0,0.0,0,0.0,0.0,1,0.0,-0.6,1,0.0,-5.3,6,0.667,1.6,2,0.5,-0.4,1,1.0,4.0
,Sacramento,@San Antonio,0,0.0,0.0,2,0.0,-29.4,0,0.0,0.0,1,0.0,-24.2,8,0.25,-25.8,1,1.0,-12.4,1,0.0,-20.7
,Atlanta,@Phoenix,0,0.0,0.0,2,0.5,-18.1,1,1.0,11.3,2,0.5,-10.7,6,0.833,10.8,1,0.0,-20.2,1,0.0,-26.0
,Golden State,@New Orleans,0,0.0,0.0,2,0.5,-4.8,2,0.5,11.8,3,0.333,-15.5,4,0.5,4.0,2,1.0,13.2,1,1.0,8.7
,Orlando,@Houston,0,0.0,0.0,3,0.667,-1.4,0,0.0,0.0,3,0.667,6.0,4,0.25,-11.0,2,0.5,-8.1,1,1.0,-0.1
,Portland,@Dallas,0,0.0,0.0,1,1.0,7.1,0,0.0,0.0,1,1.0,-10.6,7,0.571,-7.4,2,0.0,-10.0,1,0.0,-8.0
,LA Clippers,@Boston,0,0.0,0.0,0,0.0,0.0,1,0.0,-18.7,1,0.0,-14.4,7,0.429,3.9,2,0.5,9.4,1,0.0,-25.0
,Charlotte,,0,0.0,0.0,2,0.5,-5.0,1,1.0,33.5,2,0.0,-14.4,4,0.25,-11.9,3,0.0,-14.0,1,1.0,17.5
,Cleveland,,0,0.0,0.0,3,0.667,-1.5,0,0.0,0.0,3,0.333,-9.8,6,0.833,7.2,1,1.0,4.4,1,0.0,-20.5
,Denver,,0,0.0,0.0,1,1.0,34.5,1,1.0,17.6,0,0.0,0.0,6,0.833,26.6,3,1.0,26.1,1,0.0,2.3
,Detroit,,0,0.0,0.0,2,0.5,-0.4,0,0.0,0.0,2,1.0,17.7,7,1.0,5.4,1,1.0,24.4,1,0.0,-4.0
,Indiana,,0,0.0,0.0,2,0.5,-9.4,1,0.0,-40.6,2,0.0,-28.0,5,0.0,-28.8,2,0.0,-16.7,1,0.0,-18.9
,LA Lakers,,0,0.0,0.0,3,0.667,10.4,0,0.0,0.0,2,1.0,2.8,6,0.833,8.8,2,0.5,5.0,1,0.0,-8.7
,Memphis,,0,0.0,0.0,3,0.333,-13.9,0,0.0,0.0,2,0.0,-27.2,7,0.286,-16.4,1,0.0,-9.8,1,1.0,2.9
,Miami,,0,0.0,0.0,1,1.0,5.7,1,1.0,-7.4,2,0.5,-8.6,7,0.571,4.9,1,0.0,-14.6,1,0.0,0.1
,Milwaukee,,0,0.0,0.0,3,0.333,-10.5,0,0.0,0.0,1,0.0,-5.2,8,0.625,7.6,1,1.0,19.0,1,1.0,28.1
,Minnesota,,0,0.0,0.0,2,0.5,-11.1,1,0.0,-19.2,1,0.0,-2.9,6,0.667,7.8,1,1.0,20.7,2,1.0,16.1
,New York,,0,0.0,0.0,2,0.5,16.6,0,0.0,0.0,2,1.0,24.9,5,0.6,10.3,1,0.0,-2.6,2,1.0,34.0
,Oklahoma City,,0,0.0,0.0,3,0.667,20.0,0,0.0,0.0,2,1.0,40.5,6,1.0,24.2,2,1.0,31.0,1,1.0,-6.5
,Philadelphia,,0,0.0,0.0,2,0.5,6.8,1,0.0,-1.8,1,1.0,-5.6,3,0.667,15.2,4,0.5,0.4,1,1.0,-6.7
,Toronto,,0,0.0,0.0,1,0.0,-19.0,1,0.0,-10.1,1,0.0,-29.8,7,0.714,15.2,2,1.0,16.9,1,1.0,26.0
