RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
,Atlanta,East,Southeast,27,118.0,117.4,0.6,101.3,115.6,115.0,0.6,-0.45,-0.21,0.15,14.4,0.211,15,12,0.556,0.517,0.52,0.039,1
,Boston,East,Atlantic,26,116.2,110.8,5.4,95.7,121.4,115.9,5.5,-1.9,-0.11,3.6,17.5,0.224,15,11,0.577,0.623,0.678,-0.046,-2
,Brooklyn,East,Atlantic,25,110.2,115.9,-5.7,97.9,112.6,118.4,-5.8,0.14,-0.14,-5.66,18.2,0.269,7,18,0.28,0.375,0.312,-0.095,1
,Charlotte,East,Southeast,26,114.8,118.4,-3.6,99.0,114.7,118.3,-3.6,0.71,0.14,-2.89,15.0,0.249,8,18,0.308,0.405,0.381,-0.097,1
,Chicago,East,Central,26,117.6,121.9,-4.3,102.5,113.9,118.0,-4.1,-0.68,0.24,-4.78,12.1,0.236,11,15,0.423,0.368,0.358,0.055,1
,Cleveland,East,Central,28,118.4,116.3,2.1,101.1,116.3,114.2,2.1,-1.99,0.22,0.11,12.7,0.267,15,13,0.536,0.566,0.569,-0.03,-2
,Dallas,West,Southwest,27,112.9,116.8,-3.9,101.4,109.6,113.4,-3.8,-1.07,0.62,-4.87,11.0,0.252,10,17,0.37,0.365,0.372,0.005,-1
,Denver,West,Northwest,25,125.6,116.2,9.4,98.7,126.2,116.8,9.4,-4.21,0.95,5.19,11.7,0.327,19,6,0.76,0.79,0.81,-0.03,5
,Detroit,East,Central,26,119.3,113.0,6.3,100.6,118.1,111.9,6.2,-2.4,-0.49,3.8,9.1,0.36,21,5,0.808,0.752,0.707,0.056,4
,Golden State,West,Pacific,27,114.4,113.2,1.2,99.6,114.4,113.2,1.2,-0.13,0.2,1.07,15.0,0.231,13,14,0.481,0.532,0.54,-0.051,-2
,Houston,West,Southwest,23,120.8,111.2,9.6,96.9,123.0,113.2,9.8,-1.42,-1.19,8.38,13.8,0.234,16,7,0.696,0.762,0.816,-0.066,-1
,Indiana,East,Central,26,110.2,118.3,-8.1,100.0,109.2,117.3,-8.1,1.22,0.24,-6.88,15.3,0.264,6,20,0.231,0.298,0.233,-0.067,-2
,LA Clippers,West,Pacific,26,111.3,116.8,-5.5,96.8,114.0,119.7,-5.7,1.76,-0.16,-3.94,13.8,0.268,6,20,0.231,0.34,0.319,-0.109,-4
,LA Lakers,West,Pacific,25,118.2,116.7,1.5,99.2,119.2,117.6,1.6,-0.86,0.36,0.74,14.1,0.349,18,7,0.72,0.545,0.549,0.175,1
,Memphis,West,Southwest,27,114.4,115.2,-0.8,101.1,112.8,113.6,-0.8,1.26,-0.12,0.46,16.6,0.268,13,14,0.481,0.481,0.474,0.0,2
,Miami,East,Southeast,26,120.7,117.7,3.0,104.7,114.9,112.0,2.9,0.44,-0.39,3.34,13.1,0.275,14,12,0.538,0.587,0.599,-0.049,-5
,Milwaukee,East,Central,27,113.9,117.7,-3.8,99.0,114.1,117.9,-3.8,-0.13,-0.27,-3.93,14.8,0.274,11,16,0.407,0.399,0.375,0.008,-1
,Minnesota,West,Northwest,27,119.4,114.6,4.8,100.1,118.4,113.5,4.9,-2.34,0.64,2.56,13.8,0.331,17,10,0.63,0.639,0.658,-0.009,-1
,New Orleans,West,Southwest,27,114.2,122.8,-8.6,99.7,113.3,121.8,-8.5,3.78,-0.36,-4.72,13.3,0.252,5,22,0.185,0.262,0.217,-0.077,2
,New York,East,Atlantic,25,121.0,112.2,8.8,98.5,122.9,114.0,8.9,-1.5,-0.18,7.4,14.2,0.273,18,7,0.72,0.735,0.79,-0.015,6
,Oklahoma City,West,Northwest,26,123.1,106.3,16.8,100.1,121.5,105.0,16.5,-4.35,1.11,12.15,12.3,0.254,24,2,0.923,0.91,1.053,0.013,-1
,Orlando,East,Southeast,26,117.9,114.1,3.8,100.8,116.5,112.7,3.8,0.04,-1.11,3.84,14.2,0.23,15,11,0.577,0.605,0.625,-0.028,-1
,Philadelphia,East,Atlantic,25,116.8,115.8,1.0,99.7,115.3,114.3,1.0,-1.53,-0.02,-0.53,12.4,0.301,14,11,0.56,0.532,0.533,0.028,-1
,Phoenix,West,Pacific,26,114.8,114.5,0.3,99.0,115.5,115.2,0.3,1.5,0.32,1.8,18.8,0.199,14,12,0.538,0.506,0.51,0.032,-2
,Portland,West,Northwest,26,118.2,121.9,-3.7,102.5,114.9,118.4,-3.5,3.91,-0.85,0.41,12.0,0.326,10,16,0.385,0.385,0.378,0.0,1
,Sacramento,West,Pacific,26,110.8,122.4,-11.6,101.2,109.1,120.4,-11.3,5.38,-1.0,-5.92,13.3,0.233,6,20,0.231,0.198,0.118,0.033,-3
,San Antonio,West,Southwest,25,119.7,115.2,4.5,100.1,119.0,114.5,4.5,0.92,0.54,5.42,10.7,0.306,18,7,0.72,0.663,0.648,0.057,-1
,Toronto,East,Atlantic,27,115.4,113.2,2.2,99.6,115.5,113.3,2.2,-1.91,0.43,0.29,14.8,0.184,16,11,0.593,0.559,0.572,0.034,1
,Utah,West,Northwest,25,119.0,126.1,-7.1,102.0,114.8,121.7,-6.9,2.22,0.49,-4.68,17.3,0.29,10,15,0.4,0.345,0.266,0.055,2
,Washington,East,Southeast,24,112.8,126.7,-13.9,101.3,110.4,124.0,-13.6,2.12,-0.25,-11.48,16.8,0.313,4,20,0.167,0.208,0.042,-0.041,1
